date,amount,description,key,Status
2025-03-23,1202.18,"travel expense - werner, perez and navarro","(Timestamp('2025-03-23 00:00:00'), 1202.18, 'travel expense - werner, perez and navarro')",Matched
2025-01-04,1027.58,salary transfer - ellis plc,"(Timestamp('2025-01-04 00:00:00'), 1027.58, 'salary transfer - ellis plc')",Matched
2025-01-26,7188.59,customer refund - scott ltd,"(Timestamp('2025-01-26 00:00:00'), 7188.59, 'customer refund - scott ltd')",Matched
2025-01-21,7011.58,bank charges - nash-smith,"(Timestamp('2025-01-21 00:00:00'), 7011.58, 'bank charges - nash-smith')",Matched
2025-02-05,1639.25,"bank charges - gentry, brown and moran","(Timestamp('2025-02-05 00:00:00'), 1639.25, 'bank charges - gentry, brown and moran')",Matched
2025-02-15,8490.19,insurance payout - stewart group,"(Timestamp('2025-02-15 00:00:00'), 8490.19, 'insurance payout - stewart group')",Matched
2025-02-03,8090.57,"equipment purchase - freeman, hinton and brown","(Timestamp('2025-02-03 00:00:00'), 8090.57, 'equipment purchase - freeman, hinton and brown')",Matched
2025-01-06,6646.51,travel expense - daniel group,"(Timestamp('2025-01-06 00:00:00'), 6646.51, 'travel expense - daniel group')",Matched
2025-02-18,2851.94,bank charges - crawford-park,"(Timestamp('2025-02-18 00:00:00'), 2851.94, 'bank charges - crawford-park')",Matched
2025-02-01,1717.68,"service fee - zhang, schmidt and smith","(Timestamp('2025-02-01 00:00:00'), 1717.68, 'service fee - zhang, schmidt and smith')",Matched
2025-02-21,2750.63,salary transfer - cook-kim,"(Timestamp('2025-02-21 00:00:00'), 2750.63, 'salary transfer - cook-kim')",Matched
2025-03-14,8776.04,bank charges - martinez inc,"(Timestamp('2025-03-14 00:00:00'), 8776.04, 'bank charges - martinez inc')",Matched
2025-03-24,4642.63,"travel expense - reilly, ashley and moore","(Timestamp('2025-03-24 00:00:00'), 4642.63, 'travel expense - reilly, ashley and moore')",Matched
2025-03-10,2701.14,insurance payout - fisher plc,"(Timestamp('2025-03-10 00:00:00'), 2701.14, 'insurance payout - fisher plc')",Matched
2025-02-24,8988.45,"service fee - davis, williams and campbell","(Timestamp('2025-02-24 00:00:00'), 8988.45, 'service fee - davis, williams and campbell')",Matched
2025-02-16,2271.28,"office rent - hanson, gordon and andrade","(Timestamp('2025-02-16 00:00:00'), 2271.28, 'office rent - hanson, gordon and andrade')",Matched
2025-03-09,2589.0,"customer refund - garcia, molina and washington","(Timestamp('2025-03-09 00:00:00'), 2589.0, 'customer refund - garcia, molina and washington')",Matched
2025-01-02,6834.81,vendor payment - wilson-fisher,"(Timestamp('2025-01-02 00:00:00'), 6834.81, 'vendor payment - wilson-fisher')",Matched
2025-03-24,3467.74,travel expense - jarvis-johnson,"(Timestamp('2025-03-24 00:00:00'), 3467.74, 'travel expense - jarvis-johnson')",Matched
2025-03-06,9135.02,travel expense - castro ltd,"(Timestamp('2025-03-06 00:00:00'), 9135.02, 'travel expense - castro ltd')",Matched
2025-01-01,6029.55,"equipment purchase - briggs, lara and horton","(Timestamp('2025-01-01 00:00:00'), 6029.55, 'equipment purchase - briggs, lara and horton')",Matched
2025-03-14,9474.8,vendor payment - jensen-williams,"(Timestamp('2025-03-14 00:00:00'), 9474.8, 'vendor payment - jensen-williams')",Matched
2025-01-17,1371.08,"equipment purchase - turner, sullivan and rodriguez","(Timestamp('2025-01-17 00:00:00'), 1371.08, 'equipment purchase - turner, sullivan and rodriguez')",Matched
2025-03-11,7577.13,salary transfer - frederick-bailey,"(Timestamp('2025-03-11 00:00:00'), 7577.13, 'salary transfer - frederick-bailey')",Matched
2025-02-09,4050.02,"bank charges - neal, rodriguez and patel","(Timestamp('2025-02-09 00:00:00'), 4050.02, 'bank charges - neal, rodriguez and patel')",Matched
2025-02-26,9006.18,equipment purchase - fischer plc,"(Timestamp('2025-02-26 00:00:00'), 9006.18, 'equipment purchase - fischer plc')",Matched
2025-02-13,308.24,"customer refund - hayes, mcfarland and bryant","(Timestamp('2025-02-13 00:00:00'), 308.24, 'customer refund - hayes, mcfarland and bryant')",Matched
2025-02-12,801.49,"salary transfer - hill, fowler and alvarez","(Timestamp('2025-02-12 00:00:00'), 801.49, 'salary transfer - hill, fowler and alvarez')",Matched
2025-03-11,1409.89,"insurance payout - benitez, adams and vega","(Timestamp('2025-03-11 00:00:00'), 1409.89, 'insurance payout - benitez, adams and vega')",Matched
2025-02-22,1985.06,"vendor payment - young, nelson and powell","(Timestamp('2025-02-22 00:00:00'), 1985.06, 'vendor payment - young, nelson and powell')",Matched
2025-03-10,4541.27,service fee - byrd-daniel,"(Timestamp('2025-03-10 00:00:00'), 4541.27, 'service fee - byrd-daniel')",Matched
2025-01-13,600.82,customer refund - brandt ltd,"(Timestamp('2025-01-13 00:00:00'), 600.82, 'customer refund - brandt ltd')",Matched
2025-01-22,4123.5,"equipment purchase - lopez, haley and blair","(Timestamp('2025-01-22 00:00:00'), 4123.5, 'equipment purchase - lopez, haley and blair')",Matched
2025-01-22,3851.83,service fee - roberts-torres,"(Timestamp('2025-01-22 00:00:00'), 3851.83, 'service fee - roberts-torres')",Matched
2025-02-06,4287.77,customer refund - adkins-king,"(Timestamp('2025-02-06 00:00:00'), 4287.77, 'customer refund - adkins-king')",Matched
2025-02-10,665.94,"insurance payout - johnson, williams and davis","(Timestamp('2025-02-10 00:00:00'), 665.94, 'insurance payout - johnson, williams and davis')",Matched
2025-01-27,6730.29,"bank charges - howard, miles and lamb","(Timestamp('2025-01-27 00:00:00'), 6730.29, 'bank charges - howard, miles and lamb')",Matched
2025-03-27,6490.46,equipment purchase - davis ltd,"(Timestamp('2025-03-27 00:00:00'), 6490.46, 'equipment purchase - davis ltd')",Matched
2025-02-06,1661.69,customer refund - rice plc,"(Timestamp('2025-02-06 00:00:00'), 1661.69, 'customer refund - rice plc')",Matched
2025-04-01,3094.92,customer refund - michael llc,"(Timestamp('2025-04-01 00:00:00'), 3094.92, 'customer refund - michael llc')",Matched
2025-01-02,6711.85,"customer refund - jones, daniel and taylor","(Timestamp('2025-01-02 00:00:00'), 6711.85, 'customer refund - jones, daniel and taylor')",Matched
2025-02-08,9324.38,"vendor payment - barton, cook and moore","(Timestamp('2025-02-08 00:00:00'), 9324.38, 'vendor payment - barton, cook and moore')",Matched
2025-03-19,2185.23,"bank charges - mcintosh, travis and williams","(Timestamp('2025-03-19 00:00:00'), 2185.23, 'bank charges - mcintosh, travis and williams')",Matched
2025-01-06,135.1,"office rent - jimenez, williams and silva","(Timestamp('2025-01-06 00:00:00'), 135.1, 'office rent - jimenez, williams and silva')",Matched
2025-02-26,5561.64,service fee - kirby-villegas,"(Timestamp('2025-02-26 00:00:00'), 5561.64, 'service fee - kirby-villegas')",Matched
2025-03-13,195.73,"vendor payment - golden, long and escobar","(Timestamp('2025-03-13 00:00:00'), 195.73, 'vendor payment - golden, long and escobar')",Matched
2025-03-30,9048.89,"customer refund - neal, estrada and hunt","(Timestamp('2025-03-30 00:00:00'), 9048.89, 'customer refund - neal, estrada and hunt')",Matched
2025-02-22,9740.99,"office rent - navarro, maynard and webster","(Timestamp('2025-02-22 00:00:00'), 9740.99, 'office rent - navarro, maynard and webster')",Matched
2025-02-14,3121.39,"salary transfer - wright, lin and taylor","(Timestamp('2025-02-14 00:00:00'), 3121.39, 'salary transfer - wright, lin and taylor')",Matched
2025-01-05,1173.19,service fee - hays-moran,"(Timestamp('2025-01-05 00:00:00'), 1173.19, 'service fee - hays-moran')",Matched
2025-02-14,7312.6,bank charges - evans-reyes,"(Timestamp('2025-02-14 00:00:00'), 7312.6, 'bank charges - evans-reyes')",Matched
2025-02-26,4477.38,salary transfer - klein-wilson,"(Timestamp('2025-02-26 00:00:00'), 4477.38, 'salary transfer - klein-wilson')",Matched
2025-03-26,939.48,"customer refund - miller, sandoval and chan","(Timestamp('2025-03-26 00:00:00'), 939.48, 'customer refund - miller, sandoval and chan')",Matched
2025-03-26,6366.11,"bank charges - reeves, gamble and bright","(Timestamp('2025-03-26 00:00:00'), 6366.11, 'bank charges - reeves, gamble and bright')",Matched
2025-01-19,341.81,"salary transfer - poole, dodson and harrison","(Timestamp('2025-01-19 00:00:00'), 341.81, 'salary transfer - poole, dodson and harrison')",Matched
2025-02-28,4202.97,insurance payout - travis ltd,"(Timestamp('2025-02-28 00:00:00'), 4202.97, 'insurance payout - travis ltd')",Matched
2025-01-25,7211.62,service fee - aguilar-morales,"(Timestamp('2025-01-25 00:00:00'), 7211.62, 'service fee - aguilar-morales')",Matched
2025-02-24,2266.53,customer refund - brown-morgan,"(Timestamp('2025-02-24 00:00:00'), 2266.53, 'customer refund - brown-morgan')",Matched
2025-03-18,3241.25,"equipment purchase - huff, callahan and williams","(Timestamp('2025-03-18 00:00:00'), 3241.25, 'equipment purchase - huff, callahan and williams')",Matched
2025-02-26,867.09,travel expense - hodges llc,"(Timestamp('2025-02-26 00:00:00'), 867.09, 'travel expense - hodges llc')",Matched
2025-01-31,2789.98,"bank charges - bass, olsen and boone","(Timestamp('2025-01-31 00:00:00'), 2789.98, 'bank charges - bass, olsen and boone')",Matched
2025-03-11,897.72,"office rent - buchanan, taylor and lee","(Timestamp('2025-03-11 00:00:00'), 897.72, 'office rent - buchanan, taylor and lee')",Matched
2025-02-22,3375.73,"equipment purchase - martin, carpenter and little","(Timestamp('2025-02-22 00:00:00'), 3375.73, 'equipment purchase - martin, carpenter and little')",Matched
2025-01-04,3949.69,service fee - ramirez-cummings,"(Timestamp('2025-01-04 00:00:00'), 3949.69, 'service fee - ramirez-cummings')",Matched
2025-01-11,6463.22,"office rent - morgan, barron and fletcher","(Timestamp('2025-01-11 00:00:00'), 6463.22, 'office rent - morgan, barron and fletcher')",Matched
2025-03-01,1899.12,travel expense - johnson and sons,"(Timestamp('2025-03-01 00:00:00'), 1899.12, 'travel expense - johnson and sons')",Matched
2025-03-25,498.56,invoice payment - jackson and sons,"(Timestamp('2025-03-25 00:00:00'), 498.56, 'invoice payment - jackson and sons')",Matched
2025-01-15,7800.14,office rent - tucker ltd,"(Timestamp('2025-01-15 00:00:00'), 7800.14, 'office rent - tucker ltd')",Matched
